"id","text","screenName","created","favoriteCount","retweetCount"
"1420369315094835201","Ab Anfang August sollen alle Reiserückkehrer einen negativen #Corona-Test vorlegen müssen. Man bekommt fast den Ein… https://t.co/ux8fHdVrRq","Alice_Weidel",2021-07-28 13:03:28,1335,289
"1420303704553627650","Ob Klima-, Migrations- oder nun die Coronapolitik: Führende Politiker in Land und Bund scheinen es sich zur Aufgabe… https://t.co/UDFI0Pq4OY","Alice_Weidel",2021-07-28 08:42:45,2295,672
"1420071449243574277","Gerade kehrt wieder etwas Normalität zurück, da diskutiert man über einen neuen #Lockdown, bar jeder wissenschaftli… https://t.co/XXscL6rpvN","Alice_Weidel",2021-07-27 17:19:51,5098,1227
"1419569007741579270","Die verfassungswidrige #Diskriminierung #Ungeimpfter spaltet die Gesellschaft in Bürger erster und zweiter Klasse -… https://t.co/xB4CPwoR42","Alice_Weidel",2021-07-26 08:03:20,3215,918
"1414146353782038528","eine #Impfpflicht nicht in Frage kommt, weder direkt noch indirekt. #Grundrechte werden nicht von oben zugeteilt, s… https://t.co/48uvJmMCgy","Alice_Weidel",2021-07-11 08:55:38,1799,307
"1414146350690836484","Die Diskriminierungsphantasien eines Kassenärzte-Vorsitzenden gegenüber Ungeimpften zeigen einmal mehr, wie berecht… https://t.co/JxmJPvSwnU","Alice_Weidel",2021-07-11 08:55:38,3191,778
"1413434870278152192","Merkel demonstriert mit dieser Einladung einmal mehr fehlenden Respekt vor rechtsstaatlichen Prinzipien. Die Richte… https://t.co/9B9NJ3UTrQ","Alice_Weidel",2021-07-09 09:48:28,3235,1037
"1413034339768676353","..am Herzen. Wir verlieren einen geschätzten Kollegen und werden ihm stets ein ehrendes Angedenken bewahren. Der Fa… https://t.co/yRgAXcmlGA","Alice_Weidel",2021-07-08 07:16:54,842,85
"1413034337772130305","Der Tod meines Kollegen Martin Hebner erfüllt mich mit tiefer Trauer. Ein beeindruckender Mensch ist nach schwerer… https://t.co/OSffNra8Jk","Alice_Weidel",2021-07-08 07:16:53,1352,167
"1412676145783377920","Schüler brauchen gerade in der jetzigen Situation nicht 151 neue „Respect Coaches“, sondern die schnellstmögliche R… https://t.co/xlazid3YQj","Alice_Weidel",2021-07-07 07:33:34,1491,326
"1412043578327584771","Die Bundesregierung muss das unwürdige Gezerre um die Entschädigung der Opfer des Anschlags von #Würzburg unverzügl… https://t.co/C6H6MUczyv","Alice_Weidel",2021-07-05 13:39:58,2378,650
"1410515763904012288","Preisexplosion im Energiesektor: Um 52% verteuerte sich #Heizöl im Vergleich zu 2020, die #Spritpreise steigen um 2… https://t.co/o5Ifda6tDv","Alice_Weidel",2021-07-01 08:28:58,1938,497
"1410194389641617411","Nach der tödlichen #Messerattacke von #Wuerzburg fällt Innenminister #Seehofer nichts anderes ein, als die Schuld o… https://t.co/BslFFBAYh3","Alice_Weidel",2021-06-30 11:11:57,2065,553
"1409432131361816578","Ausgerechnet nach der #Messerattacke durch einen schon zuvor wegen Messerdelikten polizeibekannten #Somalier in… https://t.co/qiWGcY3b0O","Alice_Weidel",2021-06-28 08:43:00,1928,544
"1409059431711662084","Wie reagiert #Merkel auf die schreckliche Bluttat von #Wuerzburg? Bis zum jetzigen Zeitpunkt schweigt sie vielsagen… https://t.co/hcJsqCyDZJ","Alice_Weidel",2021-06-27 08:02:02,4817,1241
"1408704226360971265","„Flüchtlinge“, die bereits wegen Gewaltdelikten auffällig geworden sind, gehören in Abschiebehaft genommen. Wer als… https://t.co/q1efEG7i6X","Alice_Weidel",2021-06-26 08:30:34,2892,539
"1408704223609491457","Was muss noch passieren, bis die etablierte Politik endlich reagiert? Wie viele Opfer soll die aktuelle Asylpolitik… https://t.co/oCavV5oTA3","Alice_Weidel",2021-06-26 08:30:34,4127,868
"1408475388536307717","Man weiß nichts über den augenscheinlich nicht aus Deutschland stammenden Täter, dass er psychisch krank ist, wisse… https://t.co/xPW3fhjPvl","Alice_Weidel",2021-06-25 17:21:15,2065,279
"1408475303287181312","In #Würzburg wurden mindestens drei Menschen Opfer einer Messerattacke, weitere sechs wurden zum Teil schwerverletz… https://t.co/PAOqHU9Z2O","Alice_Weidel",2021-06-25 17:20:55,3546,518
"1408423041898631172","Mindestens 15 Soldaten der #Bundeswehr wurden bei einem Anschlag in #Mali zum Teil schwer verletzt. Meine Gedanken… https://t.co/6wCvPT857C","Alice_Weidel",2021-06-25 13:53:15,1849,337
"1408351008481239042","#Kretschmann hat den Schleier gelüftet. Was die Bürger mit den #Grünen in der #Bundesregierung erwartet, hat diktat… https://t.co/qRZKe4BwEo","Alice_Weidel",2021-06-25 09:07:00,2728,702
"1407974989475856384","Deutschland muss zurückkehren zu einer Politik von Vernunft und Augenmaß, zu bürgerlicher Eigenverantwortung statt… https://t.co/nJwj4Dl6CZ","Alice_Weidel",2021-06-24 08:12:51,1855,445
"1407280876082413569","Die Arroganz der deutschen Politik, die sie gegenüber unseren europäischen Partnerstaaten an den Tag legt, ist völl… https://t.co/ItHQoa7x3q","Alice_Weidel",2021-06-22 10:14:41,2548,376
"1406899529685811202","""Ich hab ein ganz ordentliches Einkommen, deshalb gehöre ich nicht zu den Leuten, die ganz genau bei jedem Preis hi… https://t.co/73oZ6R4FxJ","Alice_Weidel",2021-06-21 08:59:21,2177,662
"1406508443536695299","Das ist nicht die #AfD. @UweJunge wird sich die Partei demnächst von außen anschauen dürfen. Übrigens: Der National… https://t.co/KWwQOrIgLZ","Alice_Weidel",2021-06-20 07:05:19,2137,296
"1405450006430113792","Ursächlich ist die Order von deutlich zu viel #Corona-Atemschutz. @jensspahn bestellte 1200% mehr #FFP2 #Masken als… https://t.co/mTtpBflc6q","Alice_Weidel",2021-06-17 08:59:28,1637,483
